time_step,node_id,health_score,threshold,status,observed_metrics
77,L3N_06,0.6,0.2807111993828547,Fair,"{'PLR': 0.02, 'CPU': 50.0, 'RTT': 100.0}"
77,L3N_07,0.0,0.017150163886158327,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
77,L3N_08,0.0,0.017045508025230242,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
77,L3N_09,0.0,0.008089902655359407,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
77,L3N_10,0.0,0.3518499758915398,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
77,L3N_11,0.0,0.11199482238383227,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
77,L3N_12,0.0,0.09902052876003863,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
77,L4N_01,0.0,0.01584702837921697,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
77,L4N_02,0.0,0.053029952482006565,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
77,L4N_03,0.0,0.011602079316447888,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
77,L4N_04,0.0,0.08585861520635195,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
77,L4N_05,0.0,0.04679939770298329,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
77,L4N_06,0.0,0.07107862934666515,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
77,L4N_07,0.0,0.005137572427311759,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
77,L4N_08,0.6,0.26538612887092583,Fair,"{'PLR': 0.02, 'CPU': 50.0, 'RTT': 100.0}"
77,L4N_09,0.0,0.019977346397854676,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
77,L4N_10,0.0,0.0689817510574821,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
77,L4N_11,0.0,0.01780278355674948,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
77,L4N_12,0.0,0.0104729627459775,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
77,L4N_13,0.0,0.06797695242445735,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
77,L4N_14,0.0,0.038370337854942815,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
77,L4N_15,0.0,0.01760377520455829,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
77,L4N_16,0.0,0.26762260545716765,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
77,L4N_17,0.0,0.021589602914110727,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
77,L4N_18,0.0,0.08601404250858904,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
77,L4N_19,0.0,0.0010727257512051901,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
77,L4N_20,0.6,0.2471395675788721,Fair,"{'PLR': 0.02, 'CPU': 50.0, 'RTT': 100.0}"
77,L4N_21,0.0,0.018020330877694304,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
77,L4N_22,0.0,0.0067256929525207395,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
77,L4N_23,0.0,0.13020110536817772,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
77,L4N_24,0.0,0.0010624051154673408,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
77,L4N_25,0.0,0.07564255092659422,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
77,L4N_26,0.0,0.005236841936560344,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
77,L4N_27,0.6,0.30480658108519865,Fair,"{'PLR': 0.02, 'CPU': 50.0, 'RTT': 100.0}"
77,L4N_28,0.0,0.001101685417105169,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
77,L4N_29,0.6,0.2541523629481747,Fair,"{'PLR': 0.02, 'CPU': 50.0, 'RTT': 100.0}"
77,L4N_30,0.0,0.0001770022383399493,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
77,L4N_31,0.0,3.648150797283822e-05,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
77,L4N_32,0.0,0.07949537553709048,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
77,L4N_33,0.0,0.048044557457700345,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
77,L4N_34,0.0,0.000873057495621508,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
77,L4N_35,0.0,0.04145770493714885,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
77,L4N_36,0.0,0.0006549300535471862,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
78,CloudDB_Server,0.0,0.024941305354834686,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
78,L1N_01,0.0,0.0005416513001332513,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
78,L2N_01,0.0,0.0001299379340315285,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
78,L2N_02,0.0,0.17282001981993947,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
78,L2N_03,0.0,0.00467572808525162,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
78,L2N_04,0.0,0.1568288030889268,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
78,L3N_01,1.2000000000000002,0.5736953729829962,Good,"{'PLR': 0.05, 'CPU': 30.0, 'RTT': 100.0}"
78,L3N_02,0.0,0.06496767856132069,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
78,L3N_03,1.2000000000000002,0.4807220957555776,Good,"{'PLR': 0.05, 'CPU': 30.0, 'RTT': 100.0}"
78,L3N_04,1.2000000000000002,0.5126689920785551,Good,"{'PLR': 0.05, 'CPU': 30.0, 'RTT': 100.0}"
78,L3N_05,0.0,0.0015909569787221772,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
78,L3N_06,0.0,0.1684267196297128,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
78,L3N_07,0.0,0.010290098331694995,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
78,L3N_08,0.0,0.010227304815138146,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
78,L3N_09,0.0,0.004853941593215644,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
78,L3N_10,0.0,0.21110998553492388,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
78,L3N_11,0.0,0.06719689343029936,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
