step,baseline_cpu,baseline_rtt,baseline_plr,observed_cpu,observed_rtt,observed_plr,cpu_diff,rtt_diff,plr_diff,active_faults_count,health_metric,adaptive_threshold,health_status
0,0.09,22.8,0.0068,0.0780970597441041,13.575300620235947,0.007139155458175572,-0.011902940255895902,-9.224699379764054,0.000339155458175572,0,0.6378069839943143,0.6378069839943143,INIT
1,0.09,22.8,0.0068,0.0780970597441041,13.575300620235947,0.007139155458175572,-0.011902940255895902,-9.224699379764054,0.000339155458175572,0,0.6378069839943143,0.6378069839943143,INIT
2,0.09,22.8,0.0068,0.0780970597441041,13.575300620235947,0.007139155458175572,-0.011902940255895902,-9.224699379764054,0.000339155458175572,0,0.6378069839943143,0.6378069839943143,INIT
3,0.09,22.8,0.0068,0.0780970597441041,13.575300620235947,0.007139155458175572,-0.011902940255895902,-9.224699379764054,0.000339155458175572,0,0.6378069839943143,0.6378069839943143,INIT
4,0.09,22.8,0.0068,0.0780970597441041,13.575300620235947,0.007139155458175572,-0.011902940255895902,-9.224699379764054,0.000339155458175572,0,0.6378069839943143,0.6378069839943143,INIT
5,0.09,22.8,0.0068,0.0780970597441041,13.575300620235947,0.007139155458175572,-0.011902940255895902,-9.224699379764054,0.000339155458175572,0,0.6378069839943143,0.6378069839943143,INIT
6,0.09,22.8,0.0068,0.0780970597441041,13.575300620235947,0.007139155458175572,-0.011902940255895902,-9.224699379764054,0.000339155458175572,0,0.6378069839943143,0.6378069839943142,INIT
7,0.09,22.8,0.0068,0.0780970597441041,13.575300620235947,0.007139155458175572,-0.011902940255895902,-9.224699379764054,0.000339155458175572,0,0.6378069839943143,0.6378069839943143,INIT
8,0.09,22.8,0.0068,0.0780970597441041,13.575300620235947,0.007139155458175572,-0.011902940255895902,-9.224699379764054,0.000339155458175572,0,0.6378069839943143,0.6378069839943143,INIT
9,0.09,22.8,0.0068,0.0780970597441041,13.575300620235947,0.007139155458175572,-0.011902940255895902,-9.224699379764054,0.000339155458175572,0,0.6378069839943143,0.6378069839943145,INIT
10,0.09,22.8,0.0068,0.0780970597441041,13.575300620235947,0.007139155458175572,-0.011902940255895902,-9.224699379764054,0.000339155458175572,0,0.6378069839943143,0.6378069839943145,Fair
