timestamp,node_id,plr,cpu,rtt,weighted_health_score,health_threshold,health_difference,health_status,anomaly_type,transceive_count
2025-10-17 09:32:57.453705+00:00,L4N_18,10.0379,-0.3364,93.1071,0.4000808625337765,0.4000808625337765,0.0,HEALTHY,NONE,0
2025-10-17 09:33:01.513363+00:00,L4N_19,10.0379,-0.3364,93.1071,0.4000808625337765,0.4000808625337765,0.0,HEALTHY,NONE,0
2025-10-17 09:33:05.562359+00:00,L4N_20,10.0379,-0.3364,93.1071,0.4000808625337765,0.4000808625337765,0.0,HEALTHY,NONE,0
2025-10-17 09:33:09.621453+00:00,L4N_21,10.0379,-0.3364,93.1071,0.4000808625337765,0.4000808625337765,0.0,HEALTHY,NONE,0
2025-10-17 09:33:13.697977+00:00,L4N_22,10.0379,-0.3364,93.1071,0.4000808625337765,0.4000808625337765,0.0,HEALTHY,NONE,0
2025-10-17 09:33:17.755486+00:00,L4N_23,10.0379,-0.3364,93.1071,0.4000808625337765,0.4000808625337765,0.0,HEALTHY,NONE,0
2025-10-17 09:33:21.794142+00:00,L4N_24,10.0379,-0.3364,93.1071,0.4000808625337765,0.4000808625337765,0.0,HEALTHY,NONE,0
2025-10-17 09:33:25.842651+00:00,L4N_25,10.0379,-0.3364,93.1071,0.4000808625337765,0.4000808625337765,0.0,HEALTHY,NONE,0
2025-10-17 09:33:29.902565+00:00,L4N_26,10.0379,-0.3364,93.1071,0.4000808625337765,0.4000808625337765,0.0,HEALTHY,NONE,0
2025-10-17 09:33:33.952027+00:00,L4N_27,10.0379,-0.3364,93.1071,0.4000808625337765,0.4000808625337765,0.0,HEALTHY,NONE,0
2025-10-17 09:33:37.985243+00:00,L4N_28,10.0379,-0.3364,93.1071,0.4000808625337765,0.4000808625337765,0.0,HEALTHY,NONE,0
2025-10-17 09:33:42.044737+00:00,L4N_29,10.0379,-0.3364,93.1071,0.4000808625337765,0.4000808625337765,0.0,HEALTHY,NONE,0
2025-10-17 09:33:46.114609+00:00,L4N_30,10.0379,-0.3364,93.1071,0.4000808625337765,0.4000808625337765,0.0,HEALTHY,NONE,0
2025-10-17 09:33:50.172852+00:00,L4N_31,10.0379,-0.3364,93.1071,0.4000808625337765,0.4000808625337765,0.0,HEALTHY,NONE,0
2025-10-17 09:33:54.230187+00:00,L4N_32,10.0379,-0.3364,93.1071,0.4000808625337765,0.4000808625337765,0.0,HEALTHY,NONE,0
2025-10-17 09:33:58.289207+00:00,L4N_33,10.0379,-0.3364,93.1071,0.4000808625337765,0.4000808625337765,0.0,HEALTHY,NONE,0
2025-10-17 09:34:02.354857+00:00,L4N_34,10.0379,-0.3364,93.1071,0.4000808625337765,0.4000808625337765,0.0,HEALTHY,NONE,0
2025-10-17 09:34:06.411691+00:00,L4N_35,10.0379,-0.3364,93.1071,0.4000808625337765,0.4000808625337765,0.0,HEALTHY,NONE,0
2025-10-17 09:34:10.467083+00:00,L4N_36,10.0379,-0.3364,93.1071,0.4000808625337765,0.4000808625337765,0.0,HEALTHY,NONE,0
